loan_id,age,employment_years,existing_emi,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
35,54,21,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved
36,37,7,7252,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved
37,37,16,12732,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved
38,57,21,86733,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected
39,30,9,61986,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved
40,41,14,0,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected
41,57,22,96477,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved
42,55,27,82005,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved
43,30,6,17790,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected
44,38,12,0,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected
45,32,13,0,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved
46,42,21,156444,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected
47,39,7,96594,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved
48,31,12,0,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved
49,57,20,0,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved
50,45,18,184369,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved
51,41,13,153279,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected
52,54,16,214533,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected
53,54,19,48071,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved
54,60,23,158635,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved
55,38,18,0,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved
56,39,19,107311,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved
57,56,19,92607,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected
58,43,20,181269,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved
59,50,20,0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected
60,52,20,35622,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved
61,55,25,81115,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected
62,52,17,50698,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved
63,41,20,84265,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected
64,52,19,55412,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved
65,49,18,0,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved
66,35,10,88919,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected
67,53,19,0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved
68,27,7,57899,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected
69,37,15,47123,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved
70,44,12,46679,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected
71,27,8,5488,500000,1500000,20,340,100000,200000,1900000,600000,Rejected
72,52,19,81538,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved
73,47,11,137585,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected
74,35,12,0,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved
75,46,11,53597,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected
76,32,8,0,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved
77,31,9,54479,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved
78,42,22,0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved
79,58,20,0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved
80,42,10,13953,700000,1400000,14,639,1900000,700000,2400000,900000,Approved
81,33,9,0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected
82,40,21,0,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved
83,53,26,41326,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected
84,38,17,86348,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved
85,49,16,48385,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved
86,61,23,51274,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected
87,40,3,25636,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected
88,46,19,75475,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected
89,34,16,32771,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved
90,61,24,167925,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved
91,49,14,57329,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected
92,64,28,0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected
93,38,12,26476,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved
94,33,6,37970,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected
95,46,15,6006,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected
96,28,0,6114,300000,1100000,2,300,100000,500000,700000,400000,Approved
97,36,11,50056,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected
98,63,27,184853,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved
99,51,23,0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved
100,29,7,0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected
101,35,6,6363,400000,900000,12,478,700000,100000,1200000,100000,Rejected
102,31,6,5592,300000,1100000,2,702,300000,200000,500000,200000,Approved
103,43,10,43182,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved
104,40,5,37055,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved
105,58,21,27591,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected
106,44,12,45455,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved
107,64,28,60848,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved
108,52,14,24290,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved
109,51,26,229591,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved
110,31,13,58321,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected
111,34,15,0,300000,1100000,8,778,800000,200000,900000,100000,Approved
112,50,17,107939,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected
113,33,10,34506,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected
114,36,14,0,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved
115,56,22,191324,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected
116,42,4,0,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved
117,36,8,0,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected
118,41,14,0,600000,1600000,6,647,1500000,600000,1500000,700000,Approved
119,51,14,50034,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected
120,55,23,78199,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved
121,46,14,0,900000,2300000,16,545,100000,200000,2700000,800000,Rejected
122,42,6,0,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected
123,58,24,0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved
124,49,27,198394,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved
125,42,20,149083,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved
126,41,10,2374,200000,600000,16,821,400000,100000,500000,100000,Approved
127,31,11,0,400000,800000,10,859,900000,500000,800000,200000,Approved
128,33,13,88333,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected
129,38,5,10264,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected
130,34,3,2707,400000,1200000,12,861,200000,600000,1100000,200000,Approved
131,51,18,145393,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved
132,60,22,0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected
133,41,12,19713,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected
134,58,21,0,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected
135,44,12,0,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved
136,42,17,7813,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected
137,37,6,103405,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved
138,35,4,46465,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected
139,40,6,71694,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved
140,43,11,3248,200000,700000,8,501,500000,200000,700000,100000,Rejected
141,40,15,0,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved
142,31,12,55197,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved
143,35,8,0,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved
144,40,17,145909,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected
145,44,14,37214,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved
146,39,4,12644,600000,1500000,14,543,300000,900000,2100000,300000,Rejected
147,25,4,0,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved
148,51,17,32607,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved
149,55,17,112350,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved
150,41,5,10729,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected
151,47,12,0,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected
152,63,28,98690,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved
153,51,14,66621,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved
154,40,5,8676,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected
155,33,14,133270,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Rejected
156,42,9,0,5000000,11200000,8,701,9100000,500000,14000000,4600000,Approved
157,38,8,56084,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Approved
158,37,17,67496,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Rejected
159,33,9,8697,700000,1300000,20,704,1600000,0,2200000,600000,Approved
160,47,14,27059,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Rejected
161,49,17,51270,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Approved
162,54,21,108516,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Approved
163,33,15,0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Rejected
164,38,14,11015,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Approved
165,44,24,0,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Approved
166,44,17,42693,5700000,15900000,16,638,100000,9500000,16300000,4500000,Approved
167,34,16,0,5800000,12800000,2,656,500000,5000000,16000000,2800000,Approved
168,32,3,8505,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Rejected
169,60,28,190104,9100000,35200000,6,341,1000000,300000,23100000,8200000,Rejected
170,48,12,45463,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Approved
171,34,11,47739,3800000,10500000,12,886,4000000,500000,14900000,2300000,Approved
172,22,2,29570,1900000,4100000,18,801,400000,800000,4800000,1200000,Approved
173,52,19,0,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Approved
174,49,14,138378,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected
175,28,10,0,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Rejected
176,34,16,0,1800000,5300000,6,826,4500000,700000,6500000,1300000,Approved
177,49,26,217105,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Approved
178,42,12,15436,2400000,8600000,8,309,500000,600000,5700000,2800000,Rejected
179,55,20,81723,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Approved
180,42,9,76195,3800000,13900000,12,534,4700000,2900000,8200000,2800000,Rejected
181,40,9,0,4500000,17900000,6,787,9800000,3600000,14300000,4200000,Approved
182,46,14,0,900000,2200000,16,566,100000,700000,2000000,600000,Approved
183,41,11,21920,2800000,9900000,8,742,4900000,1300000,6700000,1700000,Approved
184,58,23,94879,7500000,23100000,4,824,12100000,10900000,26300000,9500000,Approved
185,30,9,11554,1400000,3100000,14,575,3000000,2100000,4900000,1400000,Approved
186,44,12,55632,3800000,10900000,10,766,1900000,3900000,8600000,3000000,Approved
187,43,14,0,1700000,5000000,10,888,2900000,900000,4100000,2200000,Approved
188,59,28,0,9000000,30400000,6,638,16800000,11000000,26900000,9200000,Approved
189,46,15,126776,7300000,23300000,6,622,7100000,11600000,26400000,10500000,Approved
190,49,18,0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,Rejected
191,40,15,159362,9000000,28200000,16,327,1700000,2300000,24000000,11200000,Rejected
192,24,4,40786,3000000,6500000,2,612,8800000,3400000,6700000,1700000,Approved
193,43,13,15935,800000,2900000,8,682,2200000,1100000,2900000,700000,Approved
194,57,20,54395,4800000,13200000,2,583,13700000,5800000,9500000,5200000,Approved
195,39,19,112063,6400000,18300000,8,697,10000000,3600000,22500000,3600000,Approved
196,45,23,96987,9200000,27100000,12,306,5800000,11500000,28000000,9600000,Rejected
197,28,1,9991,400000,1500000,2,669,-100000,600000,900000,500000,Approved
198,35,12,0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,Approved
199,52,14,0,8500000,28900000,20,455,15200000,5800000,22500000,9400000,Rejected
200,32,13,109464,4700000,16400000,10,318,11400000,8100000,16200000,4300000,Rejected
201,40,19,116746,9800000,21200000,20,355,22000000,8900000,31800000,14400000,Rejected
202,35,9,30426,3800000,8900000,16,389,200000,5600000,12200000,2200000,Rejected
203,38,7,0,500000,1500000,2,888,1500000,300000,1500000,600000,Approved
204,40,18,108148,6900000,15600000,6,352,13000000,5300000,22600000,10000000,Rejected
205,46,25,139878,9600000,30100000,12,870,300000,6700000,38200000,5600000,Approved
206,32,5,66723,2900000,6500000,18,827,8300000,600000,10400000,3200000,Approved
207,56,29,207762,9800000,20900000,12,768,3400000,10200000,38600000,13400000,Approved
208,40,22,0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,Approved
209,41,20,0,7700000,19100000,10,355,11300000,4900000,21900000,6600000,Rejected
210,26,8,0,1400000,3300000,2,652,100000,2100000,3500000,1900000,Approved
211,61,23,111814,7800000,15900000,2,665,14400000,900000,27200000,5400000,Approved
212,33,10,10662,1700000,6000000,18,420,500000,1600000,3700000,2300000,Rejected
213,56,20,46179,8500000,32700000,18,471,12600000,9400000,33900000,12500000,Rejected
214,48,15,15306,1900000,7500000,20,715,5100000,2800000,6500000,2800000,Approved
215,58,20,57200,6700000,15200000,10,689,0,8200000,15000000,6800000,Approved
216,31,12,171233,6900000,16400000,4,787,11100000,6100000,26400000,3800000,Approved
217,42,7,0,2600000,7800000,4,819,3100000,4300000,5700000,1500000,Approved
218,43,16,0,9600000,21100000,6,809,16100000,9500000,34700000,8700000,Approved
219,38,15,0,6800000,17000000,2,744,15500000,3900000,23700000,3500000,Approved
220,33,9,33798,3200000,11300000,6,484,3500000,5500000,8500000,2100000,Rejected
221,33,5,35373,2900000,10400000,6,673,5100000,1700000,10600000,1700000,Approved
222,34,14,175727,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Approved
223,48,15,0,3900000,12400000,12,473,6400000,4700000,13100000,3800000,Rejected
224,41,14,23235,4600000,11000000,2,491,9000000,4000000,16100000,3500000,Rejected
225,50,12,0,700000,1700000,8,733,1200000,800000,2400000,500000,Approved
226,27,8,50699,5200000,15600000,20,434,14100000,5800000,18100000,5500000,Rejected
227,48,20,0,5900000,20600000,10,777,1900000,4600000,21200000,6400000,Approved
228,36,14,0,7200000,19100000,4,774,9400000,7000000,17900000,3600000,Approved
229,54,21,92729,8700000,27000000,10,717,25500000,8600000,17500000,9100000,Approved
230,26,1,0,1100000,3500000,12,503,3000000,400000,2200000,1200000,Rejected
231,34,7,65596,4000000,10900000,14,598,3600000,6600000,13600000,4400000,Approved
232,61,28,0,9800000,32400000,2,543,24200000,17500000,25700000,7700000,Approved
233,46,8,59299,2700000,6800000,20,796,700000,4200000,7000000,1900000,Approved
234,40,22,79750,8800000,34600000,8,386,14800000,16500000,18400000,6000000,Rejected
235,32,14,40501,3300000,7800000,16,632,8500000,500000,7100000,4900000,Approved
236,47,10,133853,6900000,23400000,4,481,18700000,1100000,23400000,10200000,Approved
237,44,12,0,900000,3500000,4,770,700000,0,2000000,600000,Rejected
238,47,14,0,4100000,15500000,6,667,2800000,1600000,14700000,4000000,Approved
239,42,18,94407,4700000,17500000,8,585,1200000,3100000,9600000,4900000,Approved
240,42,6,61184,3400000,11600000,16,479,9200000,5700000,11200000,2400000,Rejected
241,43,19,0,9600000,22500000,18,851,7400000,16200000,24300000,12700000,Approved
242,61,24,0,7000000,16200000,6,378,20000000,12600000,20300000,5500000,Rejected
243,37,10,86529,5700000,12900000,18,807,4100000,900000,18600000,5500000,Approved
244,49,24,69031,8200000,32400000,18,831,22800000,12300000,17700000,7800000,Approved
245,48,18,0,2100000,5100000,12,674,2200000,3200000,6400000,2400000,Approved
246,54,24,84491,8000000,28100000,18,725,1900000,12800000,23000000,7500000,Approved
247,42,22,0,8000000,29300000,4,600,16500000,13200000,29400000,6500000,Approved
248,41,18,126780,9400000,27000000,10,536,4400000,1700000,33800000,4800000,Rejected
249,51,13,0,8400000,20600000,10,477,1500000,1500000,25000000,11900000,Rejected
250,41,7,0,1900000,5000000,6,560,1000000,1900000,6300000,1400000,Approved
251,33,11,73308,4200000,16400000,20,539,9500000,2100000,11400000,3100000,Rejected
252,24,4,36170,2600000,9100000,8,852,3700000,700000,10300000,3300000,Approved
253,24,6,35573,3700000,8500000,20,853,8300000,5700000,7500000,4900000,Approved
254,50,20,186956,8800000,30900000,12,729,1700000,700000,25700000,11400000,Approved
255,37,3,13349,2100000,4700000,2,546,6000000,3200000,5700000,1500000,Rejected
256,52,14,6387,900000,2400000,10,489,800000,0,2800000,500000,Rejected
257,64,27,0,9800000,35400000,6,869,14400000,16400000,22800000,10300000,Approved
258,57,25,122920,8000000,20000000,2,502,4100000,2200000,31600000,9900000,Rejected
259,51,17,60575,9800000,38800000,8,652,23200000,19000000,29700000,5400000,Approved
260,41,6,6175,300000,1100000,8,789,400000,100000,800000,400000,Approved
261,45,7,28690,2700000,8100000,4,325,5000000,800000,9900000,3400000,Approved
262,35,15,113902,7400000,19600000,2,716,4100000,8900000,29100000,4200000,Approved
263,57,21,103998,9200000,34300000,18,523,25600000,4000000,29100000,8800000,Rejected
264,55,20,143906,9500000,22200000,20,352,24500000,0,30800000,7000000,Rejected
265,32,14,58928,3800000,14400000,2,345,3300000,800000,13000000,4700000,Approved
266,60,25,0,8300000,19400000,18,649,2500000,16100000,24300000,11300000,Approved
267,43,19,66492,2800000,7400000,18,666,100000,2300000,6300000,3400000,Approved
268,55,19,138667,8600000,20900000,10,813,11300000,11900000,26000000,4800000,Approved
269,48,20,102497,5400000,16800000,10,599,5300000,7400000,14500000,7600000,Approved
270,30,10,27925,4200000,9400000,6,678,4700000,5500000,9900000,5700000,Approved
271,52,16,29449,5200000,12200000,20,513,13400000,2000000,16800000,5400000,Rejected
272,64,29,66593,9400000,27900000,4,870,1100000,200000,29500000,10400000,Approved
273,50,19,50137,8800000,20400000,8,483,3200000,11400000,28200000,11800000,Rejected
274,33,12,74563,5900000,16700000,16,308,5800000,8800000,19100000,5300000,Rejected
275,36,12,37829,1700000,4900000,16,591,4700000,1000000,4300000,1400000,Approved
276,50,23,36432,7000000,23000000,10,886,14000000,3700000,26700000,3600000,Approved
277,34,4,0,1700000,4000000,6,829,0,1600000,5200000,1700000,Approved
278,28,9,0,1500000,4900000,12,651,1600000,2800000,4600000,800000,Approved
279,42,12,18200,2000000,4700000,18,733,3700000,3700000,7000000,2800000,Approved
280,46,17,80181,3900000,15500000,12,433,9500000,5400000,7900000,4600000,Rejected
281,34,16,11432,900000,3600000,14,713,1300000,1000000,1800000,1200000,Approved
282,41,12,167604,6900000,22500000,18,403,800000,8400000,16900000,6300000,Rejected
283,50,16,0,2800000,7800000,10,405,7800000,2500000,7100000,3400000,Rejected
284,30,11,95511,6800000,19900000,10,516,16000000,6000000,26000000,8500000,Rejected
285,39,2,0,600000,1800000,8,417,1700000,700000,1800000,800000,Rejected
286,48,11,0,4700000,14000000,6,468,11300000,1800000,10600000,4600000,Rejected
287,38,13,45211,3000000,11800000,10,672,8700000,3600000,9800000,4100000,Approved
288,39,16,0,4000000,13900000,6,530,6000000,5600000,12500000,6000000,Rejected
289,35,17,52758,3100000,11300000,14,824,3700000,6000000,11000000,4400000,Approved
290,57,23,0,7700000,25500000,12,549,18100000,10600000,20500000,7000000,Rejected
291,50,16,96262,4300000,9300000,10,450,2100000,6700000,10000000,4100000,Rejected
292,53,19,78816,5800000,19500000,20,431,13800000,5000000,15600000,3300000,Rejected
293,42,13,0,3600000,10700000,16,312,2300000,1600000,13100000,5200000,Rejected
294,33,8,19988,2900000,7600000,8,320,8000000,5600000,9600000,3100000,Rejected
295,38,17,108990,8800000,20200000,4,433,16000000,4200000,30500000,12400000,Rejected
296,36,7,0,300000,1000000,10,431,400000,500000,900000,100000,Rejected
297,41,16,68830,8600000,28900000,8,516,9900000,1800000,30200000,6800000,Rejected
298,51,13,19057,3500000,12000000,14,476,1100000,6800000,12400000,2900000,Rejected
299,34,5,6731,800000,2600000,6,560,100000,200000,3000000,1000000,Approved
300,45,20,162393,8000000,27100000,12,674,14400000,400000,25300000,6400000,Approved
301,38,19,0,9900000,38200000,6,573,17200000,10000000,20100000,5900000,Approved
302,45,14,56918,3300000,6600000,6,331,6300000,2000000,8900000,2700000,Rejected
303,31,3,9946,2000000,6700000,12,633,100000,800000,4800000,2000000,Approved
304,36,9,0,4900000,12900000,18,877,1800000,7000000,17900000,3300000,Approved
305,53,17,173881,9200000,23600000,12,656,1400000,11200000,36400000,4900000,Approved
306,35,12,32657,7500000,18200000,6,782,7400000,12000000,19800000,4100000,Approved
307,46,28,136146,9000000,29300000,4,531,10400000,9500000,35500000,5800000,Approved
308,41,11,34180,1400000,4100000,8,455,3000000,1400000,2900000,2100000,Rejected
309,61,26,193056,9600000,19900000,14,452,4200000,16200000,28500000,6600000,Rejected
310,64,26,192520,8400000,33200000,14,474,19600000,15000000,25400000,11500000,Rejected
311,46,22,153604,6400000,24400000,4,483,7800000,2400000,19100000,4500000,Approved
312,38,9,101018,5900000,16800000,8,481,6900000,11400000,19500000,3300000,Rejected
313,45,12,0,2200000,5100000,20,859,3800000,1200000,6400000,3100000,Approved
314,56,18,38911,5600000,14100000,14,696,9000000,9200000,16500000,6800000,Approved
315,46,22,210820,9800000,28700000,6,778,16600000,7400000,29700000,11100000,Approved
316,41,13,0,4400000,14600000,4,499,1300000,6500000,16100000,5700000,Approved
317,43,10,11689,2400000,4900000,4,888,6400000,4300000,5100000,3400000,Approved
318,44,20,62721,4400000,10800000,12,674,9600000,2700000,17200000,5300000,Approved
319,35,7,15437,3700000,13200000,4,802,9800000,2400000,12500000,4300000,Approved
320,45,15,0,2300000,7800000,8,540,1500000,3400000,4700000,2800000,Rejected
321,42,23,0,5900000,19600000,8,726,17400000,6800000,20100000,8000000,Approved
322,42,21,0,6400000,23500000,2,485,7300000,2700000,23600000,3900000,Approved
323,40,14,85337,4900000,17100000,6,612,1300000,7000000,19500000,5000000,Approved
324,40,22,0,9500000,24200000,8,879,3100000,17200000,26400000,12700000,Approved
325,39,21,0,5700000,16400000,12,708,3700000,800000,15000000,4400000,Approved
326,45,19,45171,2700000,5700000,8,850,3500000,5000000,10500000,3900000,Approved
327,36,8,40406,3900000,11300000,12,516,3100000,0,10400000,4600000,Rejected
328,59,24,94455,7800000,28800000,12,465,4700000,7500000,28800000,7400000,Rejected
329,41,3,0,1100000,3200000,20,716,1800000,1400000,3600000,1500000,Approved
330,32,7,0,200000,600000,10,404,0,100000,400000,0,Rejected
331,37,12,33759,4700000,10600000,20,512,8400000,4000000,12300000,7000000,Rejected
332,39,14,127573,8200000,20600000,10,441,16100000,11400000,29100000,6100000,Rejected
333,32,8,40770,4600000,18400000,2,555,7700000,2400000,14200000,4200000,Approved
334,46,11,26727,1800000,7000000,18,466,2600000,2100000,6000000,1900000,Rejected
335,40,19,53037,3200000,8600000,2,427,3900000,1800000,7100000,4700000,Rejected
336,37,10,45032,5500000,20000000,14,593,15100000,2700000,19900000,4900000,Approved
337,38,16,88465,7900000,18300000,10,731,4200000,3400000,22200000,8400000,Approved
338,54,16,0,4000000,10100000,16,451,7000000,3900000,14300000,3900000,Rejected
339,40,22,0,6800000,16900000,18,628,3600000,900000,15600000,4900000,Approved
340,49,15,0,2700000,9400000,18,704,5300000,2300000,6400000,2400000,Approved
341,56,25,0,6800000,23500000,12,341,19300000,11800000,14300000,8500000,Rejected
342,46,16,42997,8600000,21000000,8,465,11700000,14900000,19500000,9900000,Rejected
